duration,protocol_type,src_bytes,dst_bytes,land,wrong_fragment,urgent,num_failed_logins,logged_in,num_compromised,root_shell,num_root,serror_rate,rerror_rate,same_srv_rate,flag,attack_type,target
2.5014,tcp,1897,2231,0,0,0,0,1,0,0,0,0.0848,0.0182,0.8291,SF,normal,0
18.3935,tcp,5364,2032,0,0,0,1,1,6,0,4,0.1496,0.1673,0.7522,RSTO,U2R,1
0.6711,tcp,13,0,0,0,0,0,0,0,0,0,0.8597,0.1643,0.8203,REJ,DoS,1
0.8345,udp,358,0,0,0,0,0,0,0,0,0,0.8852,0.194,0.9455,RSTO,DoS,1
7.1819,tcp,4587,4832,0,0,0,0,1,0,0,0,0.049,0.0529,0.8003,SF,normal,0
1.1005,udp,973,4655,0,0,0,0,1,0,0,0,0.0805,0.0137,0.7209,SF,normal,0
2.4538,tcp,4605,1369,0,0,0,0,1,0,0,0,0.0041,0.005,0.8871,SF,normal,0
0.7849,udp,916,247,0,0,0,0,0,0,0,0,0.5377,0.5132,0.4001,S0,Probe,1
0.9343,tcp,73,0,0,1,0,0,0,0,0,0,0.873,0.0238,0.8073,SF,DoS,1
0.8984,tcp,63,0,0,3,0,0,0,0,0,0,0.7302,0.0787,0.9233,REJ,DoS,1
2.1247,udp,2235,4064,0,0,0,0,1,0,0,0,0.0993,0.0869,0.8694,SF,normal,0
5.0237,tcp,18195,12305,0,0,0,1,1,5,0,1,0.1516,0.0564,0.559,RSTO,U2R,1
0.1157,tcp,56,111,0,0,0,0,0,0,0,0,0.4716,0.5408,0.3237,S0,Probe,1
0.5245,tcp,4863,2736,0,0,0,0,0,0,0,0,0.0394,0.0851,0.8038,SF,normal,0
6.8556,udp,2930,3144,0,0,0,0,1,0,0,0,0.0272,0.0316,0.9535,SF,normal,0
5.5396,tcp,3526,354,0,0,0,0,1,0,0,0,0.0209,0.0696,0.9833,REJ,normal,0
2.9917,tcp,1108,4414,0,0,0,0,1,0,0,0,0.0342,0.0986,0.9516,SF,normal,0
0.1913,tcp,89,0,0,2,0,0,0,0,0,0,0.8615,0.1826,0.8776,REJ,DoS,1
0.7176,icmp,1968,2765,0,0,0,0,0,0,0,0,0.0429,0.0629,0.7645,SF,normal,0
12.8631,icmp,754,2546,0,0,0,0,1,0,0,0,0.0304,0.0983,0.8928,SF,normal,0
1.8779,tcp,419,0,0,1,0,0,0,0,0,0,0.9223,0.1085,0.9307,S0,DoS,1
4.4954,tcp,4624,533,0,0,0,0,0,0,0,0,0.03,0.0474,0.7504,SF,normal,0
